cell_id,exposure_score,exposure_category,transport_exposure,population_exposure_proxy,infrastructure_exposure,dominant_exposure
3_1656,18.83548738714636,LOW,9.856624115600743,29.809483994332343,20.478592843572873,SETTLEMENT
4_988,21.683059896595264,LOW,15.676223686770058,24.6910785234768,27.74203272605599,INFRASTRUCTURE
5_1571,27.286989113146326,MODERATE,21.693243816909984,39.27156542935359,23.17944433387545,SETTLEMENT
10_680,24.362685820754297,LOW,18.856253643860242,35.26979454619492,20.9190953274311,SETTLEMENT
12_491,23.56777857769064,LOW,20.71926217487307,30.01078778998883,20.55603088053286,SETTLEMENT
13_1255,15.63261121375341,LOW,9.178852473577958,20.462621813128344,19.511110600558986,SETTLEMENT
15_652,58.77592199823257,HIGH,70.77157635414075,72.3032937299246,20.86909902268671,SETTLEMENT
15_1456,18.48215017184094,LOW,11.063562398069022,22.41431477103191,25.447828896177487,INFRASTRUCTURE
16_317,31.130140675644686,MODERATE,30.87352439418382,32.42230747357322,30.64215011514846,SETTLEMENT
17_355,40.96686532463672,MODERATE,59.11984120299654,23.658094359935134,29.813279214963273,TRANSPORT
20_1290,17.19946431166758,LOW,11.44545511056493,22.35941263431269,19.72515753317017,SETTLEMENT
20_1453,18.694816240302586,LOW,11.4398254784918,22.486354671778027,25.571139431303756,INFRASTRUCTURE
23_244,57.61513080372702,HIGH,78.47256166826845,40.848347707669106,41.319221966681695,TRANSPORT
27_1200,14.779763527060302,LOW,8.06715025667957,18.654656211790094,20.07174148428465,INFRASTRUCTURE
29_729,41.72717360558201,MODERATE,30.99038519887242,74.13661849739488,21.973531937782,SETTLEMENT
31_874,26.81591231068999,MODERATE,21.91925990595657,28.574745874476005,33.13261760554463,INFRASTRUCTURE
31_1025,20.98770047590807,LOW,12.952824827781095,25.419755385327807,28.796505245172867,INFRASTRUCTURE
32_1418,17.804950213544075,LOW,12.362838043381922,19.989290450545766,23.283155751580644,INFRASTRUCTURE
33_13,53.04956660213237,HIGH,82.85799204517627,21.084892163213205,37.894766043300386,TRANSPORT
33_708,26.755093940984263,MODERATE,22.70602579358025,37.231663906955944,21.646981996532634,SETTLEMENT
39_194,54.89721926504919,HIGH,79.46242363937115,27.68418599788871,43.17469061853692,TRANSPORT
40_15,49.275118106876,MODERATE,74.5034711584592,21.240425130827674,37.25162350359079,TRANSPORT
41_966,38.74160553963446,MODERATE,33.403739882395946,43.94164599847363,43.585538991429196,SETTLEMENT
44_642,50.675635416949675,HIGH,47.13273501101875,80.76239127589339,21.507719794531532,SETTLEMENT
44_777,25.199250437014985,MODERATE,18.293936933253406,35.097287265563395,25.426476474235876,SETTLEMENT
44_843,30.842482628641328,MODERATE,25.985132889876937,27.43920406164402,43.56659297672306,INFRASTRUCTURE
44_1523,53.51384671088353,HIGH,77.4502308699936,36.06860916073648,33.67444544400651,TRANSPORT
47_1039,26.026095948753973,MODERATE,20.099089979333577,30.9880215296421,30.33561414039303,SETTLEMENT
51_586,25.22189939749117,MODERATE,25.89524669635466,27.91530593851953,20.694234238874326,SETTLEMENT
51_1520,44.307808035338155,MODERATE,50.62523116194232,41.7855333354357,36.810851475099255,TRANSPORT
52_235,56.29133432994317,HIGH,78.0151914997361,39.15398187040926,39.054884915830435,TRANSPORT
53_566,52.35401120032919,HIGH,82.45538905453276,36.38686357071298,20.40148050110922,TRANSPORT
53_801,23.609686367500583,LOW,16.08566550910666,28.91120664060587,29.923634780381292,INFRASTRUCTURE
59_1544,41.38803324082538,MODERATE,58.097813429715615,27.84810178871058,28.302932990241704,TRANSPORT
61_1203,15.262738907667522,LOW,8.416347514892228,19.429828963512772,20.519107419237347,INFRASTRUCTURE
62_218,55.26776910411356,HIGH,83.25330977811575,29.912412494664704,36.305057877104794,TRANSPORT
62_993,49.72940314241317,MODERATE,72.1938452398659,25.82551677344696,40.1785084939731,TRANSPORT
62_1076,26.348012951025073,MODERATE,26.449846845771603,26.891111899739993,25.41845281261466,SETTLEMENT
67_1132,17.656041141446856,LOW,11.568141497832755,21.980857450396996,21.773779827160354,SETTLEMENT
69_27,64.91098375654751,HIGH,89.94882283351498,21.659913066946164,71.84739070063446,TRANSPORT
70_593,26.084917413330743,MODERATE,26.271253124705616,29.99111324940077,21.129372641195282,SETTLEMENT
80_1256,18.841363427554985,LOW,12.812137841579386,25.778978750829346,20.04179375324742,SETTLEMENT
83_532,58.606032028156584,HIGH,69.4818670256872,71.85342525550915,20.673794781643426,SETTLEMENT
84_1435,40.87462806120437,MODERATE,63.49128252841183,21.362456208935203,24.501377979340262,TRANSPORT
85_1002,27.84201809808081,MODERATE,21.409118018435414,28.07596693066523,38.68160278378509,INFRASTRUCTURE
87_1024,50.83214181071132,HIGH,66.53910178284235,38.579955476834535,39.72001485004293,TRANSPORT
92_891,23.416346402011555,LOW,17.870698487654284,27.054508893688133,28.212158665963816,INFRASTRUCTURE
93_93,65.51367590888982,HIGH,86.07751518015046,31.125690568305963,70.93511885597394,TRANSPORT
93_428,31.14694349554844,MODERATE,37.82924440411071,27.59583505325567,24.301238429537445,TRANSPORT
94_580,31.866775294592557,MODERATE,35.33397960137243,36.59549548813574,21.1728362191166,SETTLEMENT
96_631,26.35813597330029,MODERATE,27.541111861828576,27.41278128285824,22.99201129348269,TRANSPORT
97_1012,55.83336708898141,HIGH,67.54182426259372,29.3545574713916,68.62191437209442,INFRASTRUCTURE
101_401,43.406980763519925,MODERATE,63.063507406529475,27.577591987996986,27.851684162657303,TRANSPORT
102_554,45.28638510101645,MODERATE,33.65747964022369,83.80429166435002,20.651079968369686,SETTLEMENT
