hotspot_id,event_count,latitude,longitude,hotspot_score,hotspot_category
606_3016,1,3016790.7956062946,606613.1070501306,12.5,LOW
606_3019,1,3019559.4915032582,606869.6357041583,12.5,LOW
607_3005,1,3005822.7528004996,607623.945845715,12.5,LOW
607_3006,1,3006003.9301749994,607936.1674922387,12.5,LOW
607_3017,1,3017443.67454388,607385.6403595782,12.5,LOW
607_3018,1,3018012.399393348,607317.4523224123,12.5,LOW
607_3019,1,3019006.323349923,607314.3709916667,12.5,LOW
608_3003,2,3003708.1324239755,608622.2494233223,25.0,MODERATE
608_3004,6,3004534.2959594466,608199.385572652,75.0,VERY_HIGH
608_3005,1,3005964.633799546,608016.2695639444,12.5,LOW
608_3006,1,3006163.12177024,608190.708958745,12.5,LOW
608_3019,1,3019633.5805668393,608317.8526415452,12.5,LOW
609_3004,1,3004437.872897715,609023.2517150103,12.5,LOW
609_3018,6,3018570.2125383285,609344.9823606183,75.0,VERY_HIGH
609_3019,2,3019661.828940653,609073.6573659617,25.0,MODERATE
610_3014,2,3014476.2824117495,610614.1963818029,25.0,MODERATE
611_3002,1,3002892.3888900285,611712.6913889276,12.5,LOW
612_3000,3,3000551.5182535215,612958.1119451934,37.5,MODERATE
612_3016,1,3016804.0699393423,612626.9928059548,12.5,LOW
613_3000,3,3000573.354634743,613333.3078923468,37.5,MODERATE
613_3001,2,3001186.713365852,613499.8014651998,25.0,MODERATE
613_3004,1,3004455.915763382,613102.5373695513,12.5,LOW
613_3005,3,3005175.1075074524,613234.4894624902,37.5,MODERATE
613_3015,5,3015424.5812297487,613549.8860420396,62.5,HIGH
613_3016,2,3016882.693823344,613151.553764736,25.0,MODERATE
614_3000,2,3000358.4050906487,614283.8755235679,25.0,MODERATE
614_3005,1,3005976.7456026375,614852.8943541416,12.5,LOW
614_3015,1,3015303.583172769,614450.3404441155,12.5,LOW
614_3022,1,3022294.651258729,614987.397708157,12.5,LOW
615_3005,2,3005640.1516786567,615065.2289153849,25.0,MODERATE
615_3015,1,3015478.194108547,615359.0125285825,12.5,LOW
615_3016,1,3016963.308565399,615551.4835239176,12.5,LOW
616_3002,2,3002707.467302311,616552.8628112756,25.0,MODERATE
616_3004,1,3004406.4476169064,616089.6681129964,12.5,LOW
616_3014,1,3014910.4795882036,616513.948846272,12.5,LOW
616_3015,1,3015795.097594199,616005.1466143957,12.5,LOW
616_3016,2,3016883.8634838797,616430.7826373684,25.0,MODERATE
616_3020,1,3020660.3375247084,616644.0880805542,12.5,LOW
616_3021,1,3021962.105193003,616645.4545175764,12.5,LOW
616_3022,3,3022199.54397391,616592.8772369117,37.5,MODERATE
617_3003,2,3003755.0180399474,617667.568760463,25.0,MODERATE
617_3006,1,3006852.3276572367,617979.5361313642,12.5,LOW
617_3014,3,3014482.4624729324,617252.390105869,37.5,MODERATE
617_3018,5,3018199.5565364263,617678.5860913816,62.5,HIGH
617_3021,1,3021744.6468801596,617733.391421456,12.5,LOW
617_3022,1,3022147.3365889215,617031.3165829508,12.5,LOW
618_3007,2,3007329.9591599433,618372.681548676,25.0,MODERATE
618_3010,1,3010968.464608124,618801.6309725628,12.5,LOW
618_3015,1,3015997.285795193,618508.5880053169,12.5,LOW
618_3018,3,3018493.055611586,618294.0727758617,37.5,MODERATE
618_3020,1,3020980.9787640455,618647.7925989546,12.5,LOW
618_3025,1,3025468.471599879,618382.0800672029,12.5,LOW
619_3007,2,3007643.538671567,619466.3875404559,25.0,MODERATE
619_3008,1,3008844.630556766,619718.9858615333,12.5,LOW
619_3011,1,3011326.2497750027,619843.6111754562,12.5,LOW
619_3015,2,3015402.856282939,619419.1974320419,25.0,MODERATE
619_3023,1,3023939.0834109443,619993.5938405019,12.5,LOW
619_3024,1,3024117.7555580135,619373.471278934,12.5,LOW
620_3002,1,3002631.219953066,620023.8560875288,12.5,LOW
620_3005,1,3005233.938126335,620265.7981271986,12.5,LOW
620_3012,2,3012223.375038871,620799.2155955839,25.0,MODERATE
620_3020,1,3020470.5466138353,620601.9242947095,12.5,LOW
620_3022,1,3022536.1563987494,620664.1902250656,12.5,LOW
620_3023,5,3023481.364779584,620266.3100516935,62.5,HIGH
621_3000,2,3000668.8376017013,621557.2760350285,25.0,MODERATE
621_3004,2,3004463.82766468,621923.5476693356,25.0,MODERATE
621_3005,2,3005441.6079504136,621524.4326352669,25.0,MODERATE
621_3014,2,3014284.796123335,621381.4694992956,25.0,MODERATE
621_3018,2,3018192.225176259,621597.5646665746,25.0,MODERATE
621_3024,2,3024789.836541618,621228.9082392371,25.0,MODERATE
622_3000,1,3000508.304698263,622602.4954721364,12.5,LOW
622_3011,7,3011245.3125050133,622269.4296393015,87.5,VERY_HIGH
622_3012,1,3012026.2943857736,622819.012218379,12.5,LOW
622_3013,3,3013569.5082323835,622239.8624194792,37.5,MODERATE
622_3015,1,3015930.41264556,622081.8130130115,12.5,LOW
623_3005,1,3005996.8996614004,623382.4437638276,12.5,LOW
623_3012,1,3012878.3453909047,623407.5428015535,12.5,LOW
623_3015,3,3015716.160097677,623438.8805381515,37.5,MODERATE
623_3025,1,3025267.4858571584,623311.4651842745,12.5,LOW
624_3011,1,3011466.0083390772,624956.7967101237,12.5,LOW
624_3017,1,3017618.975381107,624144.0579976626,12.5,LOW
625_3001,2,3001399.7753835963,625286.596282148,25.0,MODERATE
625_3009,1,3009416.738995975,625604.7957142724,12.5,LOW
625_3014,1,3014079.9720759634,625983.9717822282,12.5,LOW
625_3018,1,3018540.3870283146,625185.1792303228,12.5,LOW
625_3025,1,3025976.313380851,625854.5710989444,12.5,LOW
625_3026,1,3026010.829195848,625914.6646974534,12.5,LOW
626_3004,1,3004189.98566035,626398.2489579787,12.5,LOW
626_3011,5,3011466.95878015,626631.7828110732,62.5,HIGH
626_3015,1,3015006.4760465096,626002.0760269772,12.5,LOW
627_3008,1,3008347.9691410568,627627.3429920758,12.5,LOW
627_3016,1,3016879.941265401,627440.5299894308,12.5,LOW
628_3001,1,3001298.815582091,628065.896164831,12.5,LOW
628_3004,1,3004765.5442591715,628806.5714158219,12.5,LOW
628_3015,2,3015594.1329402626,628835.8488834056,25.0,MODERATE
628_3016,1,3016090.145507811,628141.7293122531,12.5,LOW
628_3019,1,3019598.64642618,628146.669509991,12.5,LOW
629_3001,1,3001198.362113278,629664.093948527,12.5,LOW
629_3003,3,3003379.711645967,629699.1191357587,37.5,MODERATE
629_3004,1,3004575.5554178967,629480.2537607942,12.5,LOW
629_3007,1,3007184.7718067407,629722.774794443,12.5,LOW
629_3012,2,3012427.7578169433,629463.0210251533,25.0,MODERATE
629_3013,2,3013611.917910205,629247.0931553207,25.0,MODERATE
629_3015,1,3015596.6933256662,629230.4459750351,12.5,LOW
629_3017,2,3017500.312479959,629239.5276500001,25.0,MODERATE
629_3029,1,3029601.672421037,629119.7697903865,12.5,LOW
