cell_id,label,susceptibility_probability,susceptibility_category,susceptibility_alert,decision_threshold,model_name
3_1656,0,0.010009893603217855,LOW,0,0.45,RandomForest
4_988,0,0.01695086948509603,LOW,0,0.45,RandomForest
5_1571,0,0.014170283213607467,LOW,0,0.45,RandomForest
10_680,0,0.028521037330115004,LOW,0,0.45,RandomForest
12_491,0,0.0007432595523372276,LOW,0,0.45,RandomForest
13_1255,0,0.001271798365122616,LOW,0,0.45,RandomForest
15_652,0,0.26465318015318023,MODERATE,0,0.45,RandomForest
15_1456,0,0.005293226936551187,LOW,0,0.45,RandomForest
16_317,0,0.02200093001778368,LOW,0,0.45,RandomForest
17_355,0,0.12125802139037431,LOW,0,0.45,RandomForest
20_1290,0,2.1798365122615804e-05,LOW,0,0.45,RandomForest
20_1453,0,0.0030122024055266564,LOW,0,0.45,RandomForest
23_244,0,0.15265384060384066,LOW,0,0.45,RandomForest
27_1200,0,0.009902353920678173,LOW,0,0.45,RandomForest
29_729,0,0.021154835149163456,LOW,0,0.45,RandomForest
31_874,0,0.019150136366990034,LOW,0,0.45,RandomForest
31_1025,0,0.002457848943546076,LOW,0,0.45,RandomForest
32_1418,0,6.220240552665621e-05,LOW,0,0.45,RandomForest
33_13,0,0.42607817259645286,MODERATE,0,0.45,RandomForest
33_708,0,0.002305535738859989,LOW,0,0.45,RandomForest
39_194,0,0.13008316128316133,LOW,0,0.45,RandomForest
40_15,0,0.09287720998807955,LOW,0,0.45,RandomForest
41_966,0,0.0448966596305199,LOW,0,0.45,RandomForest
44_642,0,0.041961585799910044,LOW,0,0.45,RandomForest
44_777,0,0.015493630976955228,LOW,0,0.45,RandomForest
44_843,0,0.002386849295926971,LOW,0,0.45,RandomForest
44_1523,0,0.09867409812409811,LOW,0,0.45,RandomForest
47_1039,0,7.659288567056101e-05,LOW,0,0.45,RandomForest
51_586,0,0.006375402409480086,LOW,0,0.45,RandomForest
51_1520,0,0.014060125738232598,LOW,0,0.45,RandomForest
52_235,0,0.31704837538348163,MODERATE,0,0.45,RandomForest
