cell_id,label,block_id
4_988,0,58_306
10_680,0,58_303
12_491,0,58_301
13_1255,0,58_309
15_1456,0,58_311
16_317,0,58_299
17_355,0,58_300
20_1290,0,59_309
20_1453,0,59_310
23_244,0,59_298
27_1200,0,59_308
29_729,0,59_303
31_874,0,59_305
31_1025,0,59_306
32_1418,0,59_310
33_13,0,59_296
33_708,0,59_303
39_194,0,59_298
40_15,0,59_296
41_966,0,59_306
44_642,0,59_302
44_777,0,59_304
44_843,0,59_304
44_1523,0,59_311
47_1039,0,59_306
51_586,0,59_302
51_1520,0,59_311
52_235,0,59_298
53_566,0,59_302
53_801,0,59_304
59_1544,0,59_311
61_1203,0,59_308
62_218,0,59_298
62_993,0,59_306
62_1076,0,59_307
67_1132,0,59_307
69_27,0,59_296
70_593,0,59_302
80_1256,0,59_309
84_1435,0,59_310
85_1002,0,59_306
87_1024,0,59_306
92_891,0,59_305
93_93,0,59_297
93_428,0,59_300
94_580,0,59_302
96_631,0,59_302
97_1012,0,59_306
101_401,0,59_300
102_554,0,59_302
102_1442,0,59_310
104_1297,0,59_309
105_74,0,59_297
107_1391,0,59_310
110_97,0,59_297
110_951,0,59_305
111_1425,0,59_310
112_1345,0,59_309
114_1106,0,59_307
118_1383,0,60_310
122_433,0,60_300
125_958,0,60_306
130_1126,0,60_307
132_516,0,60_301
134_1295,0,60_309
141_1564,0,60_312
150_1110,0,60_307
154_105,0,60_297
156_103,0,60_297
159_757,0,60_304
162_836,0,60_304
163_823,0,60_304
165_1205,0,60_308
167_997,0,60_306
169_250,0,60_298
173_1302,0,60_309
175_1422,0,60_310
176_65,0,60_297
177_441,0,60_300
179_140,0,60_297
179_393,0,60_300
181_409,0,60_300
182_1213,0,60_308
183_57,0,60_297
183_521,1,60_301
186_549,1,60_301
186_772,0,60_304
188_63,0,60_297
189_1397,0,60_310
190_534,1,60_301
190_544,1,60_301
191_528,1,60_301
191_1609,0,60_312
193_412,1,60_300
194_1163,0,60_308
196_414,1,60_300
197_397,1,60_300
197_413,1,60_300
198_373,0,60_300
198_399,1,60_300
199_399,1,60_300
199_400,1,60_300
199_415,1,60_300
199_995,0,60_306
200_397,1,60_300
200_550,1,60_301
201_401,1,60_300
