cell_id,landslide_count,record_ids,label
183_521,1,26439,1
186_549,1,26485,1
190_534,1,26458,1
190_544,1,26480,1
191_528,1,26451,1
193_412,1,26208,1
196_414,1,26217,1
197_397,1,26151,1
197_413,1,26213,1
198_399,1,26164,1
199_399,1,26166,1
199_400,1,26171,1
199_415,1,26218,1
200_397,1,26149,1
200_550,1,26487,1
201_401,1,26175,1
203_393,1,26134,1
204_389,1,26126,1
207_398,1,26158,1
207_551,1,26488,1
208_541,1,26476,1
208_542,2,"26477,26478",1
208_550,1,26486,1
212_536,1,26466,1
212_538,1,26473,1
214_536,1,26464,1
223_498,2,"26375,26376",1
234_382,1,26121,1
243_522,1,26436,1
246_358,1,26081,1
247_358,1,26082,1
247_361,1,26087,1
247_523,1,26443,1
248_366,1,26098,1
248_398,1,26153,1
248_404,1,26189,1
249_358,1,26078,1
250_362,1,26090,1
250_404,1,26184,1
250_522,1,26437,1
251_407,1,26199,1
251_505,1,26390,1
251_510,1,26414,1
252_358,1,26080,1
252_509,1,26412,1
254_507,2,"26399,26400",1
256_365,1,26096,1
260_357,1,26076,1
260_358,1,26077,1
262_507,1,26397,1
266_413,1,26211,1
267_413,1,26212,1
267_576,1,26512,1
268_406,1,26195,1
271_508,1,26406,1
273_523,1,26444,1
277_511,1,26420,1
278_398,1,26146,1
279_381,1,26119,1
280_522,1,26442,1
282_503,1,26384,1
282_578,1,26513,1
283_522,1,26438,1
283_560,1,26494,1
283_573,1,26506,1
283_574,1,26508,1
283_575,1,26510,1
287_381,1,26118,1
287_575,1,26511,1
288_502,1,26383,1
290_389,1,26127,1
290_496,1,26370,1
290_497,1,26373,1
292_534,1,26456,1
293_535,1,26460,1
294_537,1,26465,1
294_571,1,26499,1
295_538,1,26468,1
296_534,1,26457,1
297_393,1,26130,1
297_422,1,26229,1
297_537,1,26467,1
298_424,1,26233,1
300_539,1,26472,1
301_608,1,26532,1
302_513,1,26425,1
302_539,1,26474,1
304_429,1,26237,1
304_563,1,26495,1
305_463,1,26295,1
308_510,1,26413,1
311_430,1,26238,1
311_595,1,26525,1
312_430,1,26240,1
314_442,1,26257,1
315_467,1,26305,1
315_505,1,26388,1
317_380,1,26117,1
317_593,1,26524,1
318_584,1,26515,1
318_593,1,26523,1
320_406,1,26190,1
320_590,2,"26519,26520",1
323_558,1,26491,1
323_585,1,26516,1
324_579,1,26514,1
325_476,2,"26326,26327",1
328_603,1,26530,1
330_410,1,26203,1
330_497,1,26374,1
331_361,1,26085,1
331_600,1,26527,1
332_495,1,26368,1
332_535,1,26459,1
334_359,1,26083,1
334_406,1,26191,1
334_536,1,26461,1
336_399,1,26150,1
337_398,1,26144,1
338_466,1,26301,1
338_513,1,26422,1
339_465,1,26299,1
339_466,1,26302,1
339_467,1,26304,1
339_490,1,26356,1
339_491,1,26360,1
340_465,1,26300,1
341_486,1,26346,1
342_465,1,26298,1
342_468,1,26311,1
343_359,1,26079,1
345_474,1,26323,1
350_510,1,26410,1
350_606,1,26531,1
351_413,1,26209,1
351_482,1,26333,1
351_510,1,26411,1
353_512,1,26417,1
358_530,1,26452,1
367_468,1,26307,1
368_367,1,26099,1
369_539,1,26470,1
372_368,1,26101,1
373_448,1,26266,1
376_613,1,26534,1
376_614,1,26535,1
377_494,1,26364,1
377_504,1,26385,1
379_464,1,26297,1
381_395,1,26137,1
381_468,1,26306,1
384_469,1,26310,1
386_469,1,26308,1
386_471,1,26319,1
391_522,1,26435,1
393_437,1,26249,1
398_366,1,26095,1
398_514,1,26424,1
399_549,1,26483,1
404_506,1,26389,1
405_401,1,26167,1
406_513,1,26421,1
407_527,1,26448,1
408_650,1,26587,1
409_488,1,26350,1
409_509,1,26405,1
409_663,1,26597,1
410_480,1,26331,1
410_491,1,26358,1
410_662,1,26594,1
411_386,1,26124,1
412_399,1,26147,1
412_530,1,26450,1
412_660,1,26592,1
413_476,1,26325,1
413_656,1,26591,1
414_365,1,26094,1
414_425,1,26234,1
415_392,1,26129,1
416_384,1,26122,1
418_645,1,26579,1
419_394,1,26133,1
422_365,1,26093,1
424_402,1,26168,1
425_362,1,26086,1
425_396,1,26140,1
425_431,1,26239,1
426_461,1,26289,1
428_451,1,26274,1
428_454,1,26280,1
430_437,1,26248,1
431_493,1,26362,1
431_668,1,26603,1
437_491,1,26353,1
445_369,1,26103,1
445_447,1,26264,1
446_347,1,26075,1
446_365,1,26092,1
448_373,1,26109,1
448_377,1,26113,1
448_400,1,26157,1
449_361,1,26084,1
449_400,1,26156,1
450_489,1,26349,1
452_484,1,26336,1
452_495,1,26365,1
453_391,1,26125,1
453_400,1,26152,1
453_407,1,26192,1
453_408,1,26194,1
453_411,1,26202,1
454_496,1,26366,1
455_445,1,26261,1
458_494,1,26363,1
458_665,1,26601,1
459_415,1,26210,1
459_447,1,26263,1
459_669,1,26604,1
467_337,1,26062,1
468_344,1,26074,1
468_413,1,26206,1
471_565,1,26497,1
472_543,1,26475,1
473_380,1,26115,1
473_381,1,26116,1
473_540,1,26471,1
474_421,1,26226,1
474_471,1,26317,1
475_374,1,26110,1
475_386,1,26123,1
476_416,1,26214,1
476_474,1,26321,1
477_475,1,26322,1
477_561,1,26492,1
478_384,1,26120,1
478_565,1,26496,1
480_471,1,26316,1
480_517,1,26428,1
482_479,1,26329,1
482_483,1,26332,1
483_365,1,26091,1
483_403,1,26169,1
484_334,1,26060,1
486_416,1,26215,1
488_406,1,26181,1
488_504,1,26381,1
489_364,1,26089,1
489_371,1,26105,1
489_412,1,26204,1
489_418,1,26219,1
489_419,1,26221,1
489_470,1,26314,1
491_371,1,26104,1
491_416,1,26216,1
491_442,1,26256,1
491_456,1,26284,1
491_555,1,26489,1
492_508,1,26396,1
492_528,1,26447,1
493_441,1,26252,1
494_471,1,26318,1
494_508,1,26393,1
495_374,1,26108,1
495_395,1,26131,1
495_397,1,26141,1
495_435,1,26243,1
495_450,1,26268,1
495_461,1,26288,1
495_469,1,26303,1
496_376,1,26112,1
496_463,1,26291,1
496_465,1,26296,1
497_464,1,26293,1
497_527,1,26446,1
499_373,1,26106,1
500_338,1,26065,1
500_339,1,26068,1
500_427,1,26235,1
500_508,1,26394,1
501_470,1,26315,1
501_529,1,26449,1
501_531,1,26453,1
503_461,1,26287,1
505_335,1,26061,1
505_338,1,26063,1
505_410,1,26200,1
506_339,1,26067,1
506_378,1,26114,1
506_420,1,26222,1
506_422,1,26224,1
506_464,1,26294,1
507_422,1,26225,1
508_338,1,26064,1
508_340,1,26070,1
509_340,1,26069,1
509_374,2,"26107,26111",1
510_407,1,26186,1
512_326,1,26057,1
515_405,1,26177,1
516_395,1,26132,1
517_370,1,26102,1
517_406,1,26182,1
518_325,1,26056,1
518_538,1,26462,1
519_403,1,26172,1
520_574,1,26502,1
521_323,1,26055,1
521_410,1,26201,1
521_571,1,26498,1
522_511,1,26407,1
522_558,1,26490,1
524_401,1,26160,1
526_513,1,26415,1
527_403,1,26170,1
531_402,1,26162,1
533_421,1,26223,1
533_516,1,26426,1
533_525,1,26441,1
533_527,1,26445,1
534_423,1,26227,1
535_399,1,26142,1
535_562,1,26493,1
536_487,1,26342,1
538_333,1,26059,1
538_344,1,26073,1
539_536,1,26454,1
540_318,1,26052,1
540_410,1,26198,1
542_393,1,26128,1
545_453,1,26276,1
546_369,1,26100,1
546_455,1,26278,1
547_369,1,26097,1
547_397,1,26138,1
548_402,1,26165,1
548_409,1,26193,1
549_320,1,26054,1
549_343,1,26071,1
549_364,1,26088,1
550_455,1,26281,1
551_319,1,26053,1
551_633,1,26541,1
552_593,1,26522,1
554_344,1,26072,1
556_419,1,26220,1
558_636,1,26548,1
562_330,1,26058,1
562_407,1,26185,1
562_504,1,26828,1
563_339,1,26066,1
566_408,1,26187,1
566_414,1,26207,1
570_402,1,26161,1
583_493,1,26357,1
587_492,1,26352,1
588_407,1,26183,1
589_492,1,26354,1
589_493,2,"26355,26359",1
590_414,1,26205,1
592_410,1,26197,1
593_445,1,26258,1
593_593,1,26521,1
594_475,1,26320,1
595_402,1,26154,1
595_406,1,26179,1
596_477,1,26324,1
596_480,1,26328,1
596_820,1,26659,1
597_398,1,26139,1
598_397,1,26135,1
600_410,1,26196,1
604_398,1,26136,1
604_436,1,26242,1
604_485,1,26334,1
607_576,1,26505,1
608_488,1,26341,1
609_405,1,26174,1
609_488,1,26339,1
610_488,1,26340,1
610_595,1,26714,1
611_429,1,26236,1
611_489,1,26344,1
612_489,1,26345,1
613_406,1,26178,1
613_427,1,26231,1
613_715,1,26634,1
614_407,1,26180,1
614_699,1,26621,1
614_707,1,26625,1
614_713,1,26632,1
615_710,1,26626,1
616_401,1,26145,1
616_402,1,26155,1
616_405,1,26173,1
616_406,1,26176,1
616_490,1,26348,1
616_683,1,26609,1
616_692,1,26620,1
617_665,1,26598,1
618_403,1,26163,1
619_667,1,26600,1
619_724,1,26635,1
621_427,1,26232,1
622_738,2,"26636,26713",1
623_426,1,26230,1
625_402,2,"26148,26159",1
626_401,1,26143,1
626_498,1,26367,1
626_499,1,26369,1
626_711,1,26627,1
626_712,1,26631,1
627_713,1,26633,1
627_758,1,26637,1
627_762,1,26640,1
628_762,1,26641,1
629_760,1,26639,1
630_759,1,26638,1
631_766,1,26642,1
633_506,1,26382,1
635_505,1,26378,1
636_425,2,"26228,26712",1
636_522,1,26434,1
636_783,1,26643,1
637_791,1,26644,1
638_1057,1,26710,1
638_800,1,26648,1
639_1053,1,26709,1
640_1048,2,"26707,26708",1
641_800,1,26649,1
642_642,2,"26562,26563",1
642_646,1,26576,1
643_643,2,"26566,26568",1
643_681,3,"26606,26607,26608",1
644_1042,1,26706,1
644_509,1,26392,1
645_1029,1,26702,1
