cell_id,unified_risk_score,confidence_score,rainfall_trigger_score,soil_wetness_score,spatial_pressure_score,temporal_category,anomaly_category,alert_priority_score,alert_level,should_alert,alert_reason,alert_action
3_1656,11.233885846956047,82.36207366889643,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,13.055823325268978,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
4_988,23.488003542526315,75.7941756421973,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.570176288275597,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
5_1571,15.18035406205239,82.0216781553191,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.831734022062331,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
10_680,25.98302409049344,80.84752554578665,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,19.692935534860805,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
12_491,13.8148665864684,83.12025281851393,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.217264658049537,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
13_1255,19.802458933383825,83.07700873383149,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.91168121416148,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
15_652,38.230894310871136,61.52762295117223,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,25.204477134030768,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
15_1456,11.348835572826644,82.74798275980552,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,13.107550701910746,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
16_317,13.741717458855442,81.38098887134105,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.184347550623706,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
17_355,32.14257801065188,73.25995412267454,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,22.464734798932103,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
20_1290,20.189249224727348,83.17928146110421,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.085736845266062,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
20_1453,9.82624038074062,82.93461203961661,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,12.422382865472034,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
23_244,23.45093478186717,70.69120527793638,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.553495345978984,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
27_1200,18.22045685742146,76.37087237019513,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.199780279978413,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
29_729,23.762381488272,81.45021481513726,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,18.693646363861156,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
31_874,14.369610278732534,81.61423562458779,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,14.466899319568398,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
31_1025,11.416028342957954,82.97996823196048,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,13.137787448469837,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
32_1418,16.26686717934626,83.17597567598025,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,15.320664924844575,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
33_13,39.23121204044806,48.32012356944993,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,25.654620112340382,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
33_708,21.095931958801263,82.9924302214348,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.493744075599324,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
39_194,20.80260600243616,72.5378972223556,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.361747395235028,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
40_15,20.50305075540839,75.58202051013501,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.226947534072533,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
41_966,26.922990013322888,73.50770190302626,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,20.115920200134056,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
44_642,20.16383589519296,79.74784430734888,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,17.07430084697559,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
44_777,24.71487950320368,81.91340424740882,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,19.122270470580414,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
44_843,18.60137425645544,82.98577729403841,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.371193109543704,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
44_1523,18.356576714749764,75.10772966264258,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,16.26103421577615,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
47_1039,11.670178136657947,77.17479827305938,24.072700691121742,13.215996809055468,0.0,LOW,NORMAL,13.252154855634831,ROUTINE,0,no current multi-signal escalation,Routine monitoring.
