incident_id,cell_count,max_risk_score,mean_risk_score,max_alert_priority,highest_decision_state,active_alert_cells,latitude,longitude,affected_cells,incident_category
RISK_ZONE_CLUSTER_0,4,77.12334933436195,71.09799074735173,56.8547941700921,CRITICAL,0,3006000.5044235187,607921.000872824,"193_412,196_414,197_413,199_415",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_1,8,83.41208523033444,77.2521116297661,60.21025328080514,CRITICAL,0,3004338.0044235187,608308.500872824,"197_397,198_399,199_399,199_400,200_397,201_401,203_393,204_389",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_10,2,84.45754856427473,79.55139125986132,60.184374489238856,CRITICAL,0,3016850.5044235187,616446.000872824,"280_522,283_522",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_100,2,78.74528962672602,77.2611737746384,57.7599117569347,CRITICAL,0,3056250.5044235187,659696.000872824,"714_915,714_917",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_101,2,82.47709507710917,80.90770814495838,59.9852344431236,CRITICAL,0,3048750.5044235187,660146.000872824,"718_841,719_841",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_102,3,81.44882820526246,77.82474360088862,59.404188460992415,CRITICAL,0,3031250.5044235187,660496.000872824,"720_667,722_666,724_665",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_103,3,78.05011473358309,73.37076741137001,57.12159299040387,CRITICAL,0,3033750.5044235187,660396.000872824,"720_691,721_691,722_691",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_104,5,83.03635874347374,77.51215734433711,60.14180167347693,CRITICAL,0,3029510.5044235187,661216.000872824,"724_645,729_645,730_648,731_651,732_654",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_105,2,66.9153241983456,65.41665282977594,51.45862063836295,WATCH,0,3033150.5044235187,660846.000872824,"725_685,726_685",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_106,2,72.99940349400218,71.25293853654604,54.11447065597462,WATCH,0,3025300.5044235187,660996.000872824,"726_607,728_606",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_107,2,75.78628246563136,74.93855873330301,56.56683857587082,CRITICAL,0,3009100.5044235187,661796.000872824,"734_444,736_445",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_108,4,81.04050667390095,73.27217289127296,58.86081531800045,CRITICAL,0,3029850.5044235187,662146.000872824,"738_651,738_654,739_651,739_652",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_109,3,81.77841253554679,78.85947655735667,59.4793615974914,CRITICAL,0,3048383.837756852,662329.3342061572,"738_836,741_837,742_839",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_11,5,78.85558883032404,71.69426438548757,57.59900276289143,CRITICAL,0,3022150.5044235187,616656.000872824,"282_578,283_573,283_574,283_575,287_575",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_110,2,80.88048525251459,78.11924639824986,58.96916015499811,CRITICAL,0,3009600.5044235187,662446.000872824,"740_449,743_450",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_111,3,82.53641696357444,79.68556118841965,59.87740217907239,CRITICAL,0,3055217.1710901856,663262.6675394906,"747_903,750_906,752_908",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_112,2,68.42422029933039,66.81448539567553,51.92386255089968,WATCH,0,3024000.5044235187,663146.000872824,"748_594,749_593",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_113,2,82.59917428254442,80.78535894837633,58.67073398809136,CRITICAL,0,3048850.5044235187,663296.000872824,"750_841,750_843",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_114,2,76.9426208098168,70.9833408555557,56.079824294110686,CRITICAL,0,3011950.5044235187,663846.000872824,"753_473,758_473",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_115,2,81.90644097218271,76.5565296035744,59.694273058048175,CRITICAL,0,3010050.5044235187,664196.000872824,"758_453,760_455",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_116,2,76.95088424161881,76.21054996788338,57.130624052968535,CRITICAL,0,3009850.5044235187,665046.000872824,"767_452,768_452",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_117,3,76.02084220168257,74.77938817867727,56.9117014490998,CRITICAL,0,3010483.837756852,666029.3342061572,"774_458,777_459,781_458",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_118,7,79.21800784058298,72.94572905938713,56.94547836132983,CRITICAL,0,3028636.218709233,666524.5723013955,"776_641,778_639,778_640,782_640,785_639,787_642,790_638",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_119,2,70.40749681877406,70.06616946568226,53.0315603779362,WATCH,0,3057300.5044235187,667146.000872824,"787_927,790_926",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_12,2,81.18857315142813,79.21592897634132,59.35881676735514,CRITICAL,0,3014300.5044235187,617296.000872824,"290_496,290_497",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_120,2,75.59389034316409,75.29203127645579,55.274776106138354,CRITICAL,0,3029850.5044235187,667246.000872824,"789_652,790_652",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_121,2,80.34631066081161,79.12849285593637,57.84576725665549,CRITICAL,0,3029500.5044235187,667946.000872824,"795_648,798_649",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_122,2,63.053493352074014,61.8709032221081,48.41713155517044,WATCH,0,3016050.5044235187,668046.000872824,"797_514,798_514",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_123,2,66.00288739531527,63.374066352519876,51.02231425630615,WATCH,0,3016050.5044235187,668846.000872824,"805_515,806_513",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_124,5,81.26497764727685,74.73782995367097,57.84061324023989,CRITICAL,0,3028690.5044235187,669176.000872824,"806_645,808_640,808_641,809_637,813_639",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_125,2,68.57159533477147,62.250154562683505,50.448387464963545,WATCH,0,3058250.5044235187,668896.000872824,"806_935,806_937",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_126,2,75.54588334278193,72.31449677946591,55.81219139206334,CRITICAL,0,3016400.5044235187,669596.000872824,"812_517,814_518",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_127,2,69.61774196180099,68.92819553484591,51.94810736482799,WATCH,0,3028950.5044235187,670196.000872824,"818_643,820_643",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_128,3,70.4610770396521,57.96090142392861,50.68614074726359,WATCH,0,3029117.1710901856,670996.000872824,"825_646,826_645,830_643",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_129,2,69.23448264407148,68.40214633909169,51.75510659670916,WATCH,0,3029500.5044235187,674846.000872824,"864_648,867_649",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_13,8,82.11514774153953,76.25741237870619,59.48417954388987,CRITICAL,0,3018313.0044235187,617908.500872824,"292_534,293_535,294_537,295_538,296_534,297_537,300_539,302_539",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_130,5,83.15588404593386,80.0636360154297,59.9892761670746,CRITICAL,0,3016930.5044235187,677136.000872824,"886_522,887_524,888_520,889_524,892_524",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_131,2,67.83770301064888,62.589894698439764,50.10851127037597,WATCH,0,3030100.5044235187,679046.000872824,"906_656,909_653",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_132,3,79.2135983365441,72.26114946302802,57.31846548823015,CRITICAL,0,3027817.1710901856,681796.000872824,"932_635,936_632,937_628",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_14,2,77.0340629608224,76.34166380589576,57.305846876776215,CRITICAL,0,3006950.5044235187,618046.000872824,"297_422,298_424",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_15,2,77.73669151971467,74.19358278906591,56.98996953014254,CRITICAL,0,3007650.5044235187,619446.000872824,"311_430,312_430",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_16,3,78.96263046812442,73.36731493741537,57.57262681082965,CRITICAL,0,3023850.5044235187,620129.3342061572,"317_593,318_593,320_590",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_17,2,70.31739704259564,69.32707952699393,53.73141031601396,WATCH,0,3024800.5044235187,621246.000872824,"328_603,331_600",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_18,2,78.85318468463753,72.10755242334676,56.87708796766356,CRITICAL,0,3014250.5044235187,621396.000872824,"330_497,332_495",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_19,2,81.87203551492948,79.02310265197332,59.70533170929168,CRITICAL,0,3000650.5044235187,621546.000872824,"331_361,334_359",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_2,2,73.84662038700213,72.663762432643,55.70360349624579,WATCH,0,3019700.5044235187,609046.000872824,"207_551,208_550",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_20,2,81.57639807078868,76.30133784454944,58.512015189630034,CRITICAL,0,3018200.5044235187,621596.000872824,"332_535,334_536",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_21,2,70.52761105937387,68.40008729766811,53.32532898120182,WATCH,0,3004500.5044235187,621946.000872824,"336_399,337_398",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_22,7,78.26516597764578,72.29101481379776,57.70479304673757,CRITICAL,0,3011250.504423519,622281.7151585383,"338_466,339_465,339_466,339_467,340_465,342_465,342_468",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_23,3,82.02844343111957,79.77568600145399,59.783939219341065,CRITICAL,0,3013550.5044235187,622262.6675394906,"339_490,339_491,341_486",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_24,3,74.89145531246072,74.32542263197932,56.16605558329132,WATCH,0,3015717.1710901856,623429.3342061572,"350_510,351_510,353_512",MONITORING_RISK_ZONE
RISK_ZONE_CLUSTER_25,2,83.18796087825785,81.93812721896381,60.38331042268812,CRITICAL,0,3001400.5044235187,625296.000872824,"368_367,372_368",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_26,2,79.91005577072916,76.7007298692037,58.38350073793657,CRITICAL,0,3026000.5044235187,625896.000872824,"376_613,376_614",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_27,5,80.95572727096128,77.87793846311794,59.28198555491159,CRITICAL,0,3011470.5044235187,626616.000872824,"379_464,381_468,384_469,386_469,386_471",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_28,2,78.97530492845863,78.81349277546781,58.33381873012696,CRITICAL,0,3015750.5044235187,629046.000872824,"406_513,409_509",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_29,2,81.56854095472158,81.26968485099192,59.52095277844987,CRITICAL,0,3013600.5044235187,629246.000872824,"409_488,410_491",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_3,5,82.3149910391984,75.12340326369383,59.82318692471799,CRITICAL,0,3018510.5044235187,609376.000872824,"208_541,208_542,212_536,212_538,214_536",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_30,4,77.91140689496193,74.23123408541463,56.78435610724095,CRITICAL,0,3030675.5044235187,629396.000872824,"409_663,410_662,412_660,413_656",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_31,2,81.06302014179866,77.15488467689568,58.62467533548826,CRITICAL,0,3012450.5044235187,629446.000872824,"410_480,413_476",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_32,2,79.37117675582513,76.45353559378948,58.57537483118678,CRITICAL,0,3003950.5044235187,629996.000872824,"415_392,419_394",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_33,2,79.60899654502226,76.13777761874846,57.74722759303623,CRITICAL,0,3001000.5044235187,630646.000872824,"422_365,425_362",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_34,2,77.12415984408705,72.64925774540578,57.032362314077744,CRITICAL,0,3009900.5044235187,631096.000872824,"428_451,428_454",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_35,5,80.16856851143925,74.39093908140552,58.54078125222225,CRITICAL,0,3001550.5044235187,633016.000872824,"445_369,446_365,448_373,448_377,449_361",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_36,3,83.48449972095167,80.1395890996311,59.95041942024976,CRITICAL,0,3004650.5044235187,633296.000872824,"448_400,449_400,453_400",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_37,3,80.1068083046416,76.95800596091615,58.59894004559774,CRITICAL,0,3014150.5044235187,633762.6675394906,"452_495,454_496,458_494",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_38,3,78.84082423384099,76.46838149026958,57.92751139897457,CRITICAL,0,3005517.1710901856,633596.000872824,"453_407,453_408,453_411",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_39,2,79.46131877392446,76.91022068580301,58.13636648392811,CRITICAL,0,3009250.5044235187,633996.000872824,"455_445,459_447",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_4,3,84.16187627803059,79.83788100933673,60.61986961682231,CRITICAL,0,3016883.837756852,612962.6675394906,"243_522,247_523,250_522",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_40,2,78.7138480205306,77.4263877154687,58.08416684757103,CRITICAL,0,3018800.5044235187,635546.000872824,"472_543,473_540",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_41,2,78.23667606036173,77.95718765160763,58.117669954736186,CRITICAL,0,3002700.5044235187,635596.000872824,"473_380,473_381",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_42,4,82.08314554012628,80.65903545016982,59.8475147390841,CRITICAL,0,3011925.5044235187,635971.000872824,"474_471,476_474,477_475,480_471",CRITICAL_RISK_ZONE
RISK_ZONE_CLUSTER_43,2,79.47497514637914,77.65318541892543,58.61814972044024,CRITICAL,0,3003150.5044235187,635946.000872824,"475_386,478_384",CRITICAL_RISK_ZONE
