cell_id,susceptibility_probability,susceptibility_category,terrain_instability_score,terrain_instability_category,exposure_score,exposure_category,dominant_exposure,spatial_pressure_score,spatial_category,confidence_score,uncertainty_score,confidence_category,risk_label,primary_reason,recommended_action,explanation,rainfall_trigger_score,rainfall_trigger_category,soil_wetness_score,soil_wetness_category,temporal_trajectory,temporal_category,anomaly_score,anomaly_category,sar_data_quality,unified_risk_score,unified_risk_category
3_1656,0.0100098936032178,LOW,27.75423728813559,MODERATE,18.83548738714636,LOW,SETTLEMENT,0.0,LOW,82.36207366889643,17.63792633110357,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,11.233885846956047,LOW
4_988,0.016950869485096,LOW,85.32742681047765,EXTREME,21.683059896595264,LOW,INFRASTRUCTURE,0.0,LOW,75.7941756421973,24.205824357802697,MODERATE,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,23.488003542526315,LOW
5_1571,0.0141702832136074,LOW,40.21186440677966,MODERATE,27.286989113146326,MODERATE,SETTLEMENT,0.0,LOW,82.0216781553191,17.978321844680906,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,15.18035406205239,LOW
10_680,0.028521037330115,LOW,93.1895223420647,EXTREME,24.362685820754297,LOW,SETTLEMENT,0.0,LOW,80.84752554578665,19.152474454213348,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,25.983024090493437,MODERATE
12_491,0.0007432595523372,LOW,39.19491525423729,MODERATE,23.56777857769064,LOW,SETTLEMENT,0.0,LOW,83.12025281851393,16.879747181486067,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,13.814866586468401,LOW
13_1255,0.0012717983651226,LOW,74.9653312788906,HIGH,15.63261121375341,LOW,SETTLEMENT,0.0,LOW,83.07700873383149,16.92299126616851,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,19.802458933383825,LOW
15_652,0.2646531801531802,MODERATE,75.48921417565485,EXTREME,58.77592199823257,HIGH,SETTLEMENT,0.0,LOW,61.52762295117223,38.47237704882777,MODERATE,MODERATE SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,MODERATE SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,38.230894310871136,MODERATE
15_1456,0.0052932269365511,LOW,29.655238828967644,MODERATE,18.48215017184094,LOW,INFRASTRUCTURE,0.0,LOW,82.74798275980552,17.252017240194476,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,11.348835572826644,LOW
16_317,0.0220009300177836,LOW,28.37442218798151,MODERATE,31.13014067564469,MODERATE,SETTLEMENT,0.0,LOW,81.38098887134105,18.619011128658958,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,13.741717458855442,LOW
17_355,0.1212580213903743,LOW,90.66833590138675,EXTREME,40.96686532463672,MODERATE,TRANSPORT,0.0,LOW,73.25995412267454,26.740045877325457,MODERATE,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,32.14257801065188,MODERATE
20_1290,2.1798365122615804e-05,LOW,76.00539291217258,EXTREME,17.19946431166758,LOW,SETTLEMENT,0.0,LOW,83.17928146110421,16.82071853889579,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,20.189249224727348,LOW
20_1453,0.0030122024055266,LOW,22.395993836671803,LOW,18.694816240302583,LOW,INFRASTRUCTURE,0.0,LOW,82.93461203961661,17.06538796038339,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,9.82624038074062,LOW
23_244,0.1526538406038406,LOW,27.659861325115564,MODERATE,57.61513080372702,HIGH,TRANSPORT,0.0,LOW,70.69120527793638,29.308794722063624,MODERATE,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,23.45093478186717,LOW
27_1200,0.0099023539206781,LOW,65.75308166409862,HIGH,14.779763527060302,LOW,INFRASTRUCTURE,0.0,LOW,76.37087237019513,23.62912762980487,MODERATE,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,18.22045685742146,LOW
29_729,0.0211548351491634,LOW,70.72033898305085,HIGH,41.72717360558201,MODERATE,SETTLEMENT,0.0,LOW,81.45021481513726,18.549785184862746,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,23.762381488272,LOW
31_874,0.01915013636699,LOW,35.39098613251156,MODERATE,26.81591231068999,MODERATE,INFRASTRUCTURE,0.0,LOW,81.61423562458779,18.385764375412208,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,14.369610278732534,LOW
31_1025,0.002457848943546,LOW,28.75,MODERATE,20.98770047590807,LOW,INFRASTRUCTURE,0.0,LOW,82.97996823196048,17.020031768039516,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,11.416028342957954,LOW
32_1418,6.220240552665621e-05,LOW,55.93027734976887,HIGH,17.804950213544075,LOW,INFRASTRUCTURE,0.0,LOW,83.17597567598025,16.824024324019746,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,16.26686717934626,LOW
33_13,0.4260781725964528,MODERATE,48.46494607087828,MODERATE,53.04956660213237,HIGH,TRANSPORT,0.0,LOW,48.32012356944993,51.67987643055007,LOW,MODERATE SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,MODERATE SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,39.23121204044806,MODERATE
33_708,0.0023055357388599,LOW,72.85824345146379,HIGH,26.755093940984263,MODERATE,SETTLEMENT,0.0,LOW,82.9924302214348,17.0075697785652,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,21.095931958801266,LOW
39_194,0.1300831612831613,LOW,21.535053929121727,LOW,54.89721926504919,HIGH,TRANSPORT,0.0,LOW,72.5378972223556,27.462102777644404,MODERATE,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,20.802606002436157,LOW
40_15,0.0928772099880795,LOW,32.625192604006166,MODERATE,49.275118106876,MODERATE,TRANSPORT,0.0,LOW,75.58202051013501,24.41797948986499,MODERATE,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,20.50305075540839,LOW
41_966,0.0448966596305199,LOW,83.42064714946072,EXTREME,38.74160553963446,MODERATE,SETTLEMENT,0.0,LOW,73.50770190302626,26.49229809697374,MODERATE,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,26.922990013322888,MODERATE
44_642,0.04196158579991,LOW,41.33474576271187,MODERATE,50.67563541694968,HIGH,SETTLEMENT,0.0,LOW,79.74784430734888,20.252155692651115,MODERATE,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,20.163835895192953,LOW
44_777,0.0154936309769552,LOW,89.15254237288136,EXTREME,25.199250437014985,MODERATE,SETTLEMENT,0.0,LOW,81.91340424740882,18.08659575259118,HIGH,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,24.714879503203676,LOW
44_843,0.0023868492959269,LOW,57.30161787365178,HIGH,30.842482628641328,MODERATE,INFRASTRUCTURE,0.0,LOW,82.98577729403841,17.014222705961586,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,18.601374256455436,LOW
44_1523,0.0986740981240981,LOW,17.40947611710323,LOW,53.51384671088353,HIGH,TRANSPORT,0.0,LOW,75.10772966264258,24.892270337357417,MODERATE,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,18.356576714749764,LOW
47_1039,7.659288567056101e-05,LOW,26.77773497688752,MODERATE,26.026095948753973,MODERATE,SETTLEMENT,0.0,LOW,77.17479827305938,22.82520172694062,MODERATE,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,11.670178136657949,LOW
51_586,0.00637540240948,LOW,93.42449922958396,EXTREME,25.22189939749117,MODERATE,SETTLEMENT,0.0,LOW,76.65944113020225,23.340558869797743,MODERATE,LOW SUSCEPTIBILITY,unstable terrain conditions,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: unstable terrain conditions. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,25.16234793307924,MODERATE
51_1520,0.0140601257382325,LOW,18.405238828967644,LOW,44.30780803533816,MODERATE,TRANSPORT,0.0,LOW,82.03069103966794,17.969308960332057,HIGH,LOW SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,LOW SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,13.36719469842689,LOW
52_235,0.3170483753834816,MODERATE,36.15177195685671,MODERATE,56.29133432994317,HIGH,TRANSPORT,0.0,LOW,57.2407433414203,42.7592566585797,LOW,MODERATE SUSCEPTIBILITY,no major independent warning signal,continue routine monitoring,MODERATE SUSCEPTIBILITY. Main evidence: no major independent warning signal. Recommended response: continue routine monitoring.,24.072700691121742,LOW,13.215996809055468,LOW,STABLE_LOW,LOW,23.62883145523344,NORMAL,UNREFERENCED,32.34850150223166,MODERATE
