cell_id,unified_risk_score,severity,warning_state,confidence_score,uncertainty_score,driver_1,driver_1_score,driver_2,driver_2_score,driver_3,driver_3_score,rainfall_trigger_category,soil_wetness_category,temporal_trajectory,environment_anomaly_category,recommendation
3_1656,11.233885846956047,LOW,NORMAL,82.36207366889643,17.63792633110357,terrain_instability,27.75,rainfall_trigger,24.07,exposure,18.84,LOW,LOW,STABLE_LOW,NORMAL,No immediate escalation indicated; continue routine monitoring.
4_988,23.488003542526315,LOW,NORMAL,75.7941756421973,24.205824357802697,terrain_instability,85.33,rainfall_trigger,24.07,exposure,21.68,LOW,LOW,STABLE_LOW,NORMAL,No immediate escalation indicated; continue routine monitoring.
5_1571,15.18035406205239,LOW,NORMAL,82.0216781553191,17.978321844680906,terrain_instability,40.21,exposure,27.29,rainfall_trigger,24.07,LOW,LOW,STABLE_LOW,NORMAL,No immediate escalation indicated; continue routine monitoring.
10_680,25.98302409049344,MODERATE,NORMAL,80.84752554578665,19.152474454213348,terrain_instability,93.19,exposure,24.36,rainfall_trigger,24.07,LOW,LOW,STABLE_LOW,NORMAL,Continue routine monitoring with attention to changing environmental conditions.
12_491,13.8148665864684,LOW,NORMAL,83.12025281851393,16.879747181486067,terrain_instability,39.19,rainfall_trigger,24.07,exposure,23.57,LOW,LOW,STABLE_LOW,NORMAL,No immediate escalation indicated; continue routine monitoring.
13_1255,19.802458933383825,LOW,NORMAL,83.07700873383149,16.92299126616851,terrain_instability,74.97,rainfall_trigger,24.07,exposure,15.63,LOW,LOW,STABLE_LOW,NORMAL,No immediate escalation indicated; continue routine monitoring.
15_652,38.230894310871136,MODERATE,NORMAL,61.52762295117223,38.47237704882777,terrain_instability,75.49,exposure,58.78,susceptibility,26.47,LOW,LOW,STABLE_LOW,NORMAL,Continue routine monitoring with attention to changing environmental conditions.
15_1456,11.348835572826644,LOW,NORMAL,82.74798275980552,17.252017240194476,terrain_instability,29.66,rainfall_trigger,24.07,exposure,18.48,LOW,LOW,STABLE_LOW,NORMAL,No immediate escalation indicated; continue routine monitoring.
16_317,13.741717458855442,LOW,NORMAL,81.38098887134105,18.61901112865896,exposure,31.13,terrain_instability,28.37,rainfall_trigger,24.07,LOW,LOW,STABLE_LOW,NORMAL,No immediate escalation indicated; continue routine monitoring.
17_355,32.14257801065188,MODERATE,NORMAL,73.25995412267454,26.740045877325457,terrain_instability,90.67,exposure,40.97,rainfall_trigger,24.07,LOW,LOW,STABLE_LOW,NORMAL,Continue routine monitoring with attention to changing environmental conditions.
