feature,importance
road_distance_m,0.3444716957723135
near_road_250m,0.15926343311292945
road_density_500m_km_per_km2,0.12961635517433803
elevation_m,0.09890364245683748
amenity_distance_m,0.06238881732634839
elevation_std_m,0.06224805481382324
slope_deg,0.05641752870589278
settlement_distance_m,0.05079784238968054
aspect_cos,0.012684014488550534
aspect_sin,0.012237320524184416
amenities_within_1km,0.004549589235454519
settlements_within_1km,0.002733394412708907
near_amenity_1km,0.002064794543972447
near_settlement_1km,0.001623517042965721
