cell_id,label,risk_probability,factor_1,factor_1_contribution,factor_1_value,factor_2,factor_2_contribution,factor_2_value,factor_3,factor_3_contribution,factor_3_value,factor_4,factor_4_contribution,factor_4_value,factor_5,factor_5_contribution,factor_5_value
15_652,0,0.2646531801531802,road_distance_m,-0.3590821900321898,139.21538304215306,elevation_m,0.08117112332112325,1600.0,amenity_distance_m,-0.06794444444444425,14676.042839201504,aspect_cos,-0.03695952380952372,-0.8898176499294751,settlement_distance_m,-0.033331651922956285,652.4604277096703
83_532,0,0.09999597500547575,road_distance_m,-0.3641965609553842,272.12710023981214,near_road_250m,-0.11629187407354982,0.0,road_density_500m_km_per_km2,0.0321047619047619,25.4083305303434,amenity_distance_m,-0.018737739596219882,15518.949101494563,elevation_m,0.014596615312791786,2095.0
126_1544,0,0.019135301528625782,road_distance_m,-0.09623838383838385,739.9440316964602,near_road_250m,-0.01493893003691013,0.0,elevation_std_m,-0.013172943722943718,0.566557765007019,slope_deg,-0.011733333333333328,0.9704723954200744,road_density_500m_km_per_km2,-0.011699050949050951,0.0
138_675,0,0.06296703646036071,road_distance_m,-0.4627103896103898,480.31587698586895,near_road_250m,-0.14096789690692563,0.0,aspect_sin,0.01654307359307359,0.86450716107257,road_density_500m_km_per_km2,0.009801443001442998,16.10952688482105,amenity_distance_m,-0.003828571428571431,3062.078484709255
142_942,0,0.004199118784815916,road_distance_m,-0.216107899915527,4870.697170428733,near_road_250m,-0.05572548438978723,0.0,road_density_500m_km_per_km2,-0.020454545454545458,0.0,amenity_distance_m,-0.004356012913640034,4902.422586424827,elevation_std_m,-0.0038666666666666667,8.55212688446045
149_687,0,0.11743242107574532,road_distance_m,-0.238888775113775,378.040802618948,near_road_250m,-0.0900274079840837,0.0,road_density_500m_km_per_km2,0.08399130314130313,49.47418112488196,slope_deg,-0.018821733821733813,9.12953281402588,amenity_distance_m,0.009797619047619083,1519.828759550659
150_686,0,0.15808907553239968,road_distance_m,-0.3646833721833722,265.26131711403474,near_road_250m,-0.1689748233138522,0.0,road_density_500m_km_per_km2,0.10444909534909524,33.364654240060894,elevation_std_m,0.01124603174603167,17.416467666625977,elevation_m,-0.009688095238095273,3892.0
156_878,0,0.0158654207244984,road_distance_m,-0.14960544733044734,757.3608192138331,near_road_250m,-0.019223439730115487,0.0,elevation_std_m,-0.017500000000000005,4.139541149139404,slope_deg,-0.009410256410256407,8.615472793579102,amenity_distance_m,0.007000000000000001,1960.404569593044
158_1490,0,0.002864583357907608,road_distance_m,-0.09525181485181489,2156.6028360327696,near_road_250m,-0.025077891075871182,0.0,elevation_std_m,-0.010488095238095237,1.699673056602478,slope_deg,-0.005847619047619048,3.9952552318573,road_density_500m_km_per_km2,-0.004621284271284271,0.0
160_1535,0,6.220240552665621e-05,road_distance_m,-0.0926620712620713,2249.5478467512585,near_road_250m,-0.024452494250474348,0.0,elevation_std_m,-0.009521428571428571,1.227262258529663,slope_deg,-0.006233333333333333,2.743075370788574,road_density_500m_km_per_km2,-0.0038712842712842715,0.0
