feature,importance_mean,importance_std
road_distance_m,0.13903453002722288,0.02407031371775747
settlement_distance_m,0.015127927220704902,0.009090707247210117
near_road_250m,0.009487987498165235,0.005602770082796733
road_density_500m_km_per_km2,0.009040884993446968,0.00645580634772909
amenity_distance_m,0.007943890902805839,0.007116169345112698
elevation_std_m,0.007738421582552829,0.004926822379993023
slope_deg,0.00736791375563473,0.004330207468257786
elevation_m,0.004267045194032759,0.006677415727189068
aspect_sin,0.0017503628900348179,0.0009384646893631029
near_settlement_1km,0.001450465977167259,0.0005025779267291714
amenities_within_1km,1.8827585747305255e-05,0.0005559063237642877
settlements_within_1km,-0.00013277755879106956,0.0005490023992079764
near_amenity_1km,-0.00030014112693100837,0.00042646404334911546
aspect_cos,-0.0011537844019180344,0.0007454199410048481
